Time And Station ID
line,0,1,2,3,4,5,6,7,8,9,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,6.000,5.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,12.000,10.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,12.000,15.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,18.000,20.000,8.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,30.000,30.000,12.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,42.000,40.000,16.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,54.000,50.000,20.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,72.000,26.000,26.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,74.000,41.000,32.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,92.000,56.000,38.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,110.000,71.000,44.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,134.000,91.000,52.000,26.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,158.000,111.000,60.000,30.000,0.000,4.000,3.000,2.000,1.000,0.000,
0,182.000,21.000,68.000,34.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,206.000,41.000,76.000,38.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,230.000,61.000,84.000,42.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,254.000,81.000,92.000,46.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,278.000,101.000,100.000,50.000,0.000,36.000,27.000,18.000,9.000,0.000,
0,302.000,121.000,108.000,54.000,0.000,44.000,33.000,22.000,11.000,0.000,
0,332.000,146.000,118.000,59.000,0.000,52.000,39.000,26.000,13.000,0.000,
0,362.000,171.000,128.000,64.000,0.000,60.000,45.000,30.000,15.000,0.000,
0,392.000,196.000,138.000,69.000,0.000,68.000,51.000,34.000,17.000,0.000,
0,428.000,226.000,150.000,75.000,0.000,80.000,60.000,40.000,20.000,0.000,
0,302.000,256.000,162.000,81.000,0.000,92.000,69.000,46.000,23.000,0.000,
0,338.000,286.000,174.000,87.000,0.000,104.000,78.000,52.000,26.000,0.000,
0,374.000,316.000,186.000,93.000,0.000,116.000,87.000,58.000,29.000,0.000,
0,416.000,351.000,200.000,100.000,0.000,128.000,96.000,64.000,32.000,0.000,
0,458.000,386.000,214.000,107.000,0.000,140.000,105.000,70.000,35.000,0.000,
0,500.000,261.000,228.000,114.000,0.000,152.000,114.000,76.000,38.000,0.000,
0,542.000,296.000,242.000,121.000,0.000,164.000,123.000,82.000,41.000,0.000,
0,129.000,336.000,258.000,129.000,0.000,180.000,135.000,90.000,45.000,0.000,
0,177.000,376.000,274.000,137.000,0.000,196.000,147.000,98.000,49.000,0.000,
0,225.000,416.000,290.000,145.000,0.000,212.000,106.000,106.000,53.000,0.000,
0,273.000,456.000,153.000,153.000,0.000,228.000,118.000,114.000,0.000,0.000,
0,321.000,496.000,169.000,161.000,0.000,244.000,130.000,122.000,4.000,0.000,
0,369.000,428.000,185.000,169.000,0.000,260.000,142.000,130.000,8.000,0.000,
0,417.000,468.000,201.000,177.000,0.000,276.000,154.000,138.000,12.000,0.000,
0,0.000,513.000,219.000,186.000,0.000,292.000,166.000,146.000,16.000,0.000,
0,54.000,558.000,237.000,195.000,0.000,231.000,0.000,154.000,20.000,0.000,
0,108.000,603.000,255.000,204.000,0.000,247.000,12.000,162.000,24.000,0.000,
0,162.000,648.000,273.000,213.000,0.000,263.000,24.000,170.000,28.000,0.000,
0,222.000,698.000,293.000,223.000,0.000,279.000,36.000,178.000,32.000,0.000,
0,282.000,748.000,313.000,233.000,0.000,295.000,48.000,186.000,0.000,0.000,
0,342.000,798.000,333.000,243.000,0.000,311.000,0.000,194.000,4.000,0.000,
0,402.000,848.000,353.000,253.000,0.000,327.000,12.000,202.000,8.000,0.000,
0,468.000,903.000,375.000,264.000,0.000,347.000,27.000,212.000,13.000,0.000,
0,534.000,958.000,397.000,275.000,0.000,367.000,42.000,222.000,18.000,0.000,
0,600.000,1013.000,286.000,286.000,0.000,387.000,57.000,232.000,23.000,0.000,
0,666.000,1068.000,308.000,297.000,0.000,286.000,72.000,161.000,0.000,0.000,
0,738.000,578.000,332.000,309.000,0.000,306.000,87.000,171.000,5.000,0.000,
0,810.000,638.000,356.000,321.000,0.000,326.000,102.000,181.000,10.000,0.000,
0,882.000,698.000,380.000,333.000,0.000,346.000,117.000,191.000,15.000,0.000,
0,954.000,758.000,404.000,345.000,0.000,370.000,135.000,203.000,21.000,0.000,
0,768.000,818.000,428.000,357.000,0.000,394.000,153.000,215.000,27.000,0.000,
0,840.000,878.000,452.000,369.000,0.000,418.000,171.000,227.000,33.000,0.000,
0,912.000,938.000,476.000,381.000,0.000,359.000,189.000,239.000,39.000,0.000,
0,990.000,1003.000,502.000,394.000,0.000,383.000,207.000,251.000,45.000,0.000,
0,1068.000,1068.000,528.000,407.000,0.000,407.000,225.000,263.000,51.000,0.000,
0,147.000,347.000,554.000,420.000,0.000,431.000,243.000,275.000,57.000,0.000,
0,225.000,412.000,580.000,0.000,0.000,455.000,261.000,287.000,63.000,0.000,
0,309.000,482.000,608.000,14.000,0.000,483.000,282.000,301.000,70.000,0.000,
0,393.000,552.000,636.000,28.000,0.000,511.000,303.000,315.000,77.000,0.000,
0,477.000,622.000,664.000,42.000,0.000,539.000,324.000,329.000,84.000,0.000,
0,561.000,443.000,203.000,56.000,0.000,567.000,345.000,343.000,91.000,0.000,
0,651.000,518.000,233.000,71.000,0.000,595.000,366.000,357.000,98.000,0.000,
0,741.000,593.000,263.000,86.000,0.000,623.000,387.000,371.000,105.000,0.000,
0,831.000,668.000,293.000,101.000,0.000,651.000,408.000,385.000,112.000,0.000,
0,492.000,748.000,325.000,117.000,0.000,683.000,288.000,401.000,120.000,0.000,
0,588.000,828.000,357.000,133.000,0.000,715.000,312.000,417.000,128.000,0.000,
0,684.000,908.000,389.000,149.000,0.000,490.000,336.000,433.000,136.000,0.000,
0,780.000,988.000,421.000,165.000,0.000,522.000,360.000,449.000,0.000,0.000,
0,876.000,1068.000,453.000,181.000,0.000,554.000,384.000,465.000,8.000,0.000,
